id,quiz_id,category_id,text,description,options,correct_answer,explanation,difficulty
1,1,1,Что такое Python?,Язык программирования,"['Язык программирования','Змея','Фреймворк','База данных']",Язык программирования,Python — высокоуровневый язык программирования,easy
2,1,1,Как объявить функцию в Python?,Синтаксис объявления,"['def function_name():','function function_name()','func function_name():','define function_name():']",def function_name():,Функции объявляются с помощью ключевого слова def,easy
3,1,1,Что такое список (list) в Python?,Структуры данных,"['Изменяемая последовательность','Неизменяемая последовательность','Словарь','Множество']",Изменяемая последовательность,Списки могут изменяться после создания,easy
4,1,1,Какой оператор используется для возведения в степень?,Математические операции,"['**','^','pow()','//']",**,Оператор ** используется для возведения в степень,easy
5,1,1,Что такое Django?,Веб-фреймворк,"['Веб-фреймворк','Язык программирования','База данных','Операционная система']",Веб-фреймворк,Django — это фреймворк для веб-разработки на Python,medium
6,2,2,Чему равно 2 + 2 * 2?,Порядок операций,"['6','8','4','10']",6,"Сначала выполняется умножение: 2*2=4, затем сложение: 2+4=6",easy
7,2,2,Что такое квадратное уравнение?,Алгебра,"['Уравнение вида ax²+bx+c=0','Уравнение прямой','Система уравнений','Неравенство']",Уравнение вида ax²+bx+c=0,Квадратное уравнение содержит переменную во второй степени,medium
8,2,2,Чему равен синус 90 градусов?,Тригонометрия,"['1','0','0.5','-1']",1,sin(90°) = 1,medium
9,3,3,Кто был первым императором Рима?,Древний Рим,"['Октавиан Август','Юлий Цезарь','Нерон','Траян']",Октавиан Август,Октавиан Август стал первым римским императором в 27 г. до н.э.,medium
10,3,3,В каком году началась Вторая мировая война?,XX век,"['1939','1914','1941','1945']",1939,Вторая мировая война началась 1 сентября 1939 года,medium
11,4,4,Столица Франции?,Европа,"['Париж','Лондон','Берлин','Мадрид']",Париж,Париж — столица Франции,easy
12,4,4,Столица Японии?,Азия,"['Токио','Пекин','Сеул','Бангкок']",Токио,Токио — столица Японии,easy
13,5,5,Сколько камер в сердце человека?,Анатомия,"['4','2','3','1']",4,Сердце человека имеет 4 камеры: 2 предсердия и 2 желудочка,medium
14,6,6,Кто написал "Евгения Онегина"?,"Русская литература","['А.С. Пушкин','Л.Н. Толстой','Ф.М. Достоевский','Н.В. Гоголь']",А.С. Пушкин,"Евгений Онегин" — роман в стихах Александра Пушкина,easy
15,7,7,Кто написал "Мона Лизу"?,"Живопись","['Леонардо да Винчи','Рафаэль','Микеланджело','Рембрандт']",Леонардо да Винчи,"Мона Лиза" — картина Леонардо да Винчи,easy
16,8,8,Сколько игроков в футбольной команде?,Правила,"['11','10','9','12']",11,В футбольной команде 11 игроков,easy
17,9,9,Чему равна скорость света?,Физика,"['299 792 458 м/с','300 000 км/с','150 000 км/с','1 080 000 000 км/ч']",299 792 458 м/с,Скорость света в вакууме равна 299 792 458 м/с,hard
18,10,10,Что такое блокчейн?,Технологии,"['Распределённая база данных','Криптовалюта','Язык программирования','Протокол передачи']",Распределённая база данных,Блокчейн — это распределённая база данных,medium
19,1,1,Что такое PEP 8?,Стандарты кодирования,"['Руководство по стилю кода Python','Версия Python','Библиотека','Компилятор']",Руководство по стилю кода Python,PEP 8 — руководство по написанию читаемого кода на Python,medium
20,1,1,Как создать виртуальное окружение в Python?,Разработка,"['python -m venv env','python create env','virtualenv create','pip install venv']",python -m venv env,Команда python -m venv создаёт виртуальное окружение,medium